account_id,customer_id,account_type,balance
101,7158,Current,345154
102,4802,Current,358351
103,612,Savings,404401
104,1649,Current,160121
105,1670,Savings,245221
106,8419,Savings,418398
107,4509,Current,159360
108,6025,Savings,280817
109,6896,Savings,399772
110,7979,Current,93413
111,9340,Savings,147434
112,7167,Savings,25481
113,107,Current,108207
114,9419,Current,86317
115,5175,Current,350009
116,2787,Savings,58119
117,4797,Savings,406845
118,3538,Current,150107
119,81,Current,221104
120,7318,Current,355345
121,9700,Current,216370
122,679,Savings,181195
123,6893,Savings,199492
124,2992,Current,30248
125,645,Current,332096
126,8943,Savings,438713
127,9545,Savings,262922
128,5009,Current,226921
129,6510,Savings,428870
130,8887,Current,404886
131,4383,Savings,407716
132,8960,Current,374988
133,7456,Savings,283475
134,5501,Savings,75339
135,7141,Current,491684
136,2276,Current,27827
137,4704,Current,172639
138,8784,Current,94994
139,1236,Savings,205803
140,9503,Current,372947
141,7583,Savings,99958
142,4990,Savings,443505
143,7114,Current,221376
144,8599,Current,478978
145,6244,Savings,153938
146,9924,Savings,400225
147,9761,Current,296123
148,8267,Savings,388336
149,9867,Savings,263429
150,4936,Savings,91731
151,2151,Current,361977
152,2449,Savings,37019
153,8766,Savings,139068
154,240,Current,413479
155,4904,Savings,59153
156,8300,Savings,478752
157,3109,Current,245874
158,4720,Current,203926
159,2550,Savings,29577
160,9446,Current,178954
161,8693,Current,432466
162,1941,Savings,215604
163,484,Savings,426877
164,2799,Savings,401451
165,2817,Current,477306
166,2161,Savings,120949
167,1780,Savings,162275
168,607,Current,483579
169,9831,Savings,364593
170,1088,Current,60606
171,8337,Current,128750
172,2433,Savings,19228
173,8704,Current,227348
174,6956,Savings,281275
175,5418,Current,456036
176,1306,Current,136958
177,4527,Savings,371327
178,3539,Current,201040
179,4766,Savings,360753
180,6374,Current,77346
181,1790,Current,272586
182,7699,Savings,17012
183,5935,Savings,125559
184,5707,Current,100619
185,4585,Current,13891
186,7727,Current,38878
187,5618,Savings,382104
188,4805,Current,191236
189,3346,Savings,224230
190,8211,Current,26830
191,9094,Savings,207090
192,309,Savings,79901
193,5243,Savings,394906
194,9650,Savings,256832
195,36,Current,383538
196,2470,Savings,89725
197,359,Current,75656
198,6571,Current,161213
199,9731,Current,279460
200,4365,Current,495252
201,3321,Current,196196
202,8575,Current,376385
203,3024,Savings,276197
204,1618,Current,310516
205,1681,Savings,102129
206,967,Current,275155
207,4184,Savings,329015
208,9436,Savings,174754
209,2364,Current,372527
210,5724,Savings,131820
211,2902,Savings,233418
212,4054,Current,215018
213,738,Savings,429071
214,7243,Savings,110428
215,4203,Savings,478318
216,7875,Current,120452
217,142,Current,452262
218,2802,Savings,397182
219,9968,Current,318547
220,4208,Savings,344271
221,6273,Current,435947
222,9341,Current,465672
223,2934,Savings,285584
224,1218,Current,169461
225,6932,Savings,467491
226,9878,Savings,393924
227,9054,Current,77956
228,4645,Savings,96374
229,2358,Current,324425
230,2862,Current,167230
231,4621,Current,81776
232,3218,Savings,376937
233,1223,Savings,117270
234,24,Savings,164660
235,6956,Current,138037
236,1762,Current,418234
237,1247,Savings,433360
238,4523,Savings,162128
239,8540,Current,55013
240,2078,Savings,157690
241,2307,Savings,237731
242,7501,Current,152992
243,6481,Savings,246971
244,7834,Savings,183931
245,4565,Savings,282945
246,1198,Savings,402366
247,7515,Savings,263603
248,6935,Current,163686
249,5055,Savings,88824
250,9786,Current,222565
251,5793,Savings,246389
252,2824,Current,75330
253,3650,Savings,466386
254,5375,Current,331815
255,1580,Current,178176
256,7799,Current,64799
257,1309,Savings,324074
258,236,Savings,262473
259,8043,Savings,197620
260,6944,Current,239158
261,514,Savings,358043
262,58,Savings,44005
263,8500,Savings,147142
264,634,Current,356910
265,5594,Savings,17301
266,7140,Savings,482541
267,4431,Current,38596
268,935,Savings,468742
269,2225,Current,267705
270,6592,Savings,303695
271,6692,Current,402293
272,2272,Current,275047
273,8716,Savings,289074
274,9535,Savings,268343
275,700,Current,196882
276,1030,Savings,118453
277,1830,Savings,31447
278,2235,Current,261090
279,6034,Savings,213365
280,7951,Current,215687
281,1591,Current,477997
282,2050,Current,293807
283,2276,Current,295329
284,3734,Current,136080
285,2872,Savings,350843
286,865,Savings,121488
287,7828,Current,226399
288,7652,Current,299128
289,5658,Savings,417236
290,3274,Current,493398
291,7638,Savings,233036
292,2240,Current,289571
293,495,Savings,226703
294,8577,Savings,96380
295,369,Savings,113492
296,5755,Current,287143
297,1299,Current,148777
298,76,Savings,379800
299,4161,Current,323498
300,9901,Current,292065
301,3337,Savings,210942
302,5279,Savings,362935
303,1464,Savings,315264
304,6157,Current,411691
305,1569,Savings,93765
306,1955,Savings,355952
307,2112,Savings,447232
308,2567,Current,427264
309,4283,Current,347594
310,2094,Savings,100506
311,4737,Current,447241
312,8783,Savings,397125
313,1576,Current,217534
314,5651,Current,370939
315,7306,Current,331365
316,1758,Savings,40560
317,267,Savings,418210
318,7540,Current,346617
319,9993,Savings,98119
320,9167,Savings,184523
321,1388,Savings,348416
322,3778,Savings,15453
323,4869,Savings,371337
324,2009,Current,289720
325,7651,Savings,250965
