account_id,total_transaction_amount,txn_count
101,145005.0,6
102,28221.0,1
103,34860.0,2
104,117233.0,5
105,169785.0,6
106,38592.0,2
107,65055.0,2
108,5071.0,1
109,51034.0,2
110,84833.0,3
111,71515.0,3
113,55202.0,4
114,34729.0,2
115,14374.0,1
116,39667.0,2
117,108080.0,6
118,56873.0,3
119,73535.0,2
120,26830.0,1
121,22990.0,1
122,115022.0,6
123,218628.0,6
124,20936.0,3
125,93181.0,3
126,15163.0,1
127,108205.0,5
128,116137.0,3
129,35218.0,1
130,13729.0,1
131,95180.0,5
132,142690.0,4
133,164283.0,5
134,33576.0,4
135,93543.0,4
136,63649.0,2
137,53044.0,3
138,29092.0,1
139,78930.0,2
140,144573.0,5
141,26657.0,1
142,36794.0,2
143,138471.0,5
144,118564.0,3
145,105275.0,4
146,117890.0,4
147,1837.0,1
148,37654.0,1
149,51126.0,4
150,138625.0,4
152,63304.0,2
153,154474.0,5
154,6441.0,1
155,95357.0,3
156,93574.0,4
157,27451.0,3
158,201122.0,6
159,118037.0,4
160,163365.0,6
161,131853.0,4
162,238686.0,7
163,108328.0,3
164,56305.0,4
165,124995.0,4
166,52896.0,2
167,45060.0,2
168,68115.0,2
169,17146.0,2
170,133535.0,5
171,130046.0,5
172,14232.0,1
173,52424.0,2
174,114746.0,5
175,76955.0,2
176,18553.0,1
177,63967.0,2
178,69870.0,4
179,149064.0,6
180,130221.0,4
181,123980.0,4
182,20236.0,3
183,88018.0,6
184,14782.0,2
185,84487.0,2
186,165708.0,4
187,92628.0,4
188,66944.0,4
189,136881.0,4
190,166159.0,4
191,17398.0,1
192,117969.0,3
193,96805.0,3
194,110364.0,5
195,111362.0,6
196,140678.0,6
198,155405.0,6
199,58225.0,3
200,40814.0,2
201,90715.0,4
202,86480.0,4
203,83365.0,4
204,92027.0,3
205,185883.0,6
206,55463.0,2
207,88729.0,5
208,114386.0,4
209,136362.0,6
211,108710.0,4
212,94885.0,3
213,120393.0,4
214,152009.0,5
215,138125.0,7
216,133577.0,5
217,51054.0,2
218,87123.0,3
219,72710.0,4
220,35676.0,4
222,64445.0,4
223,2664.0,1
224,51719.0,3
226,161961.0,5
227,254512.0,8
229,53747.0,4
230,133996.0,5
231,131284.0,4
232,18203.0,2
233,86851.0,4
234,91762.0,4
235,93889.0,4
236,57810.0,3
237,13874.0,2
238,88895.0,3
239,15029.0,1
240,129910.0,4
242,146766.0,5
243,136186.0,7
244,2316.0,1
245,64266.0,3
246,34532.0,1
247,6453.0,1
248,141929.0,5
249,22706.0,1
250,38336.0,2
251,59316.0,4
252,104387.0,3
253,84512.0,4
254,196223.0,8
255,138527.0,6
256,127427.0,4
257,1645.0,1
258,113875.0,5
259,90573.0,3
260,96670.0,6
261,46325.0,1
262,3641.0,1
263,89760.0,4
264,67861.0,3
265,48689.0,2
266,67118.0,3
267,47050.0,2
268,55538.0,3
269,106256.0,4
270,15878.0,1
271,44071.0,2
272,58726.0,3
273,49407.0,3
274,144431.0,5
275,120660.0,3
276,75282.0,4
277,79150.0,3
278,35157.0,2
279,143218.0,5
280,29298.0,2
281,143201.0,6
282,77452.0,4
283,93616.0,4
284,203593.0,7
285,78108.0,4
286,139820.0,6
287,15076.0,1
288,77073.0,3
289,142996.0,7
290,108047.0,3
291,83423.0,4
292,78748.0,5
293,146124.0,6
294,43705.0,1
295,44158.0,2
296,62570.0,2
297,29436.0,2
298,201889.0,6
299,50929.0,2
300,16706.0,2
301,44561.0,1
302,27236.0,2
303,71777.0,4
304,55687.0,2
305,44079.0,1
306,205226.0,6
307,59636.0,2
308,53972.0,3
309,41467.0,2
310,119082.0,7
311,113536.0,6
312,50593.0,2
313,66815.0,2
314,114993.0,5
315,200927.0,7
316,163632.0,6
317,19287.0,2
318,145199.0,4
319,114907.0,3
320,28211.0,2
321,103568.0,4
322,121195.0,3
323,5419.0,1
324,80373.0,3
325,12502.0,2
326,112969.0,5
327,123678.0,4
328,37256.0,2
329,83866.0,4
330,45021.0,2
331,37756.0,3
332,89094.0,4
333,9049.0,1
334,92809.0,3
335,113397.0,4
336,62260.0,3
337,112714.0,4
338,186435.0,5
339,55701.0,2
340,11300.0,1
341,5352.0,1
342,119901.0,5
343,77937.0,3
344,19991.0,1
345,186547.0,6
346,131437.0,4
347,28164.0,1
348,90275.0,6
349,95263.0,3
350,104000.0,3
351,135208.0,4
352,73276.0,3
353,119466.0,5
354,137795.0,4
355,40689.0,2
356,71898.0,3
357,109187.0,5
358,172533.0,8
359,31958.0,1
360,13454.0,2
361,44250.0,2
362,182856.0,6
363,82256.0,3
364,6200.0,1
365,33025.0,1
366,88779.0,3
367,91968.0,4
368,53287.0,2
369,189545.0,6
370,54987.0,2
371,68755.0,2
372,32586.0,2
373,20197.0,1
374,135395.0,7
375,59671.0,2
376,132647.0,4
377,23433.0,1
378,80968.0,4
379,107137.0,5
380,58363.0,3
381,125828.0,4
382,45713.0,1
383,37779.0,2
384,151453.0,5
385,127519.0,5
386,60345.0,2
387,207419.0,7
388,104297.0,4
389,78579.0,4
390,108877.0,3
391,80914.0,3
392,29113.0,2
393,14764.0,2
394,135622.0,5
395,141020.0,4
396,24539.0,1
