txn_id,account_id,txn_type,amount
1001,11469,Credit,13389
1002,638,Debit,46681
1003,2225,Debit,35628
1004,5389,Credit,2196
1005,8988,Debit,40796
1006,12391,Credit,28486
1007,1657,Debit,24220
1008,11498,Credit,43855
1009,14230,Credit,22147
1010,15067,Credit,46135
1011,258,Debit,7769
1012,8551,Credit,26636
1013,13615,Credit,44261
1014,1275,Credit,17993
1015,13142,Credit,44247
1016,1848,Debit,4370
1017,5213,Credit,48597
1018,9238,Credit,41400
1019,9182,Credit,32299
1020,7536,Credit,30390
1021,385,Credit,10013
1022,1832,Credit,36371
1023,11134,Credit,1242
1024,4591,Debit,1708
1025,12303,Credit,14881
1026,8925,Debit,49361
1027,9979,Debit,40909
1028,1912,Credit,12884
1029,10996,Credit,27209
1030,7006,Debit,18451
1031,4378,Credit,14418
1032,13199,Debit,2354
1033,4469,Credit,41684
1034,13328,Debit,49593
1035,6088,Debit,39625
1036,10640,Debit,2027
1037,13507,Credit,38496
1038,7099,Credit,10137
1039,11183,Credit,43402
1040,4668,Debit,12075
1041,3303,Credit,19613
1042,9908,Credit,41155
1043,901,Credit,40655
1044,3623,Debit,33978
1045,976,Credit,26717
1046,9068,Credit,34275
1047,570,Debit,8309
1048,2862,Debit,2563
1049,9071,Credit,31001
1050,4207,Credit,14406
1051,12262,Debit,37862
1052,7870,Debit,15597
1053,10382,Debit,34809
1054,4515,Debit,3894
1055,14730,Debit,25125
1056,5612,Debit,24835
1057,5507,Credit,44909
1058,1384,Debit,38341
1059,4234,Debit,36724
1060,6575,Debit,45846
1061,2666,Credit,29425
1062,7410,Debit,9960
1063,8917,Credit,41681
1064,3548,Credit,5993
1065,12072,Credit,1447
1066,11942,Debit,1866
1067,7590,Credit,39430
1068,8187,Debit,8902
1069,1331,Debit,34152
1070,3195,Debit,27919
1071,5302,Debit,11132
1072,278,Debit,26263
1073,5200,Debit,26685
1074,13683,Debit,16954
1075,1211,Credit,25346
1076,13534,Credit,19819
1077,6979,Credit,47788
1078,6626,Debit,12716
1079,802,Debit,42514
1080,14147,Credit,49029
1081,8226,Debit,26907
1082,11310,Credit,49329
1083,559,Debit,13497
1084,10126,Credit,35569
1085,9317,Debit,6136
1086,8081,Credit,41132
1087,5056,Debit,39006
1088,11464,Debit,8481
1089,8325,Debit,20885
1090,3198,Credit,21295
1091,3418,Credit,10462
1092,13438,Credit,10814
1093,3262,Credit,29235
1094,1248,Credit,32164
1095,4912,Debit,36625
1096,9765,Debit,43349
1097,11568,Credit,36653
1098,3850,Debit,16774
1099,2128,Debit,6915
1100,1671,Credit,18962
1101,13931,Credit,2065
1102,9796,Credit,49219
1103,4389,Credit,16989
1104,337,Credit,28408
1105,237,Debit,11612
1106,3709,Credit,23258
1107,9318,Credit,37563
1108,3890,Debit,29650
1109,11088,Credit,1548
